Basis,Line,,Product group,Rate,Yield,Uptime
Additional Days,E26,0.5,Dec. Surfaces/others,0.0,0.0,0.0
Additional Days,E26,0.5,Shrink Sleeve,0.0,0.0,0.0
Additional Days,E26,0.51,Dec. Surfaces/others,0.22476962767453657,0.9566589245821291,0.0
Additional Days,E26,0.51,Shrink Sleeve,0.6190903381601487,0.4331017805170916,0.0
Additional Days,E26,0.52,Dec. Surfaces/others,0.3149631483656137,1.1148073270830423,0.0
Additional Days,E26,0.52,Shrink Sleeve,1.0406928285538442,0.6436612276424682,0.0
Additional Days,E26,0.53,Dec. Surfaces/others,0.3791995898595495,1.1199854882486164,0.0
Additional Days,E26,0.53,Shrink Sleeve,1.4634887085221209,1.065686692799062,0.0
Additional Days,E26,0.54,Dec. Surfaces/others,0.47312659298582815,1.4461708449051827,0.0
Additional Days,E26,0.54,Shrink Sleeve,2.405186082358668,1.855849191458816,0.0
Additional Days,E26,0.55,Dec. Surfaces/others,0.5943977501640347,2.072011200148495,0.0
Additional Days,E26,0.55,Shrink Sleeve,3.3150774138809567,3.0455004017364047,0.0
Additional Days,E26,0.56,Dec. Surfaces/others,0.7283444737357456,2.8374274383207165,0.0
Additional Days,E26,0.56,Shrink Sleeve,3.5168367742418667,4.025069306652966,0.0
Additional Days,E26,0.57,Dec. Surfaces/others,0.9219448239148029,4.22181276433048,0.0
Additional Days,E26,0.57,Shrink Sleeve,3.948566732811585,4.131849592389102,0.0
Additional Days,E26,0.58,Dec. Surfaces/others,1.111048860306365,5.562889425851154,0.0
Additional Days,E26,0.58,Shrink Sleeve,4.69262047681849,4.694596189376597,0.0
Additional Days,E26,0.59,Dec. Surfaces/others,1.1738043750836056,6.146670119360749,0.0
Additional Days,E26,0.59,Shrink Sleeve,5.5579170844312245,5.238547818079752,0.0
Additional Days,E26,0.6,Dec. Surfaces/others,1.2162658168223608,6.606766343766523,0.0
Additional Days,E26,0.6,Shrink Sleeve,6.0713691721615675,5.658900733595573,0.0
Additional Days,E26,0.61,Dec. Surfaces/others,1.2404624847848122,7.258508557363186,0.0
Additional Days,E26,0.61,Shrink Sleeve,6.545315720931342,6.363630590659682,0.0
Additional Days,E26,0.62,Dec. Surfaces/others,1.2489129631389595,8.067768985154288,0.0
Additional Days,E26,0.62,Shrink Sleeve,6.701221389081397,6.655062915548342,0.0
Additional Days,E26,0.63,Dec. Surfaces/others,1.26004190141688,8.878265361763013,2.7083333333333295e-05
Additional Days,E26,0.63,Shrink Sleeve,6.902605158463302,7.068896529333102,0.0
Additional Days,E26,0.64,Dec. Surfaces/others,1.2812854316454239,9.735488783490041,0.00015648148148148137
Additional Days,E26,0.64,Shrink Sleeve,7.014153725675655,7.354319584079917,0.0
Additional Days,E26,0.65,Dec. Surfaces/others,1.3024724374095253,10.574775754400576,0.00028587962962962947
Additional Days,E26,0.65,Shrink Sleeve,7.189238872969767,7.8097448713546385,0.0
Additional Days,E26,0.66,Dec. Surfaces/others,1.4101771158106917,11.099704623200722,0.018570833333333456
Additional Days,E26,0.66,Shrink Sleeve,7.65116389854559,8.546695275954875,0.0
Additional Days,E26,0.67,Dec. Surfaces/others,1.5276021987220112,11.579007477003273,0.03924467592592604
Additional Days,E26,0.67,Shrink Sleeve,7.973493527980125,9.351693761420023,0.0
Additional Days,E26,0.68,Dec. Surfaces/others,1.6898414741524697,11.856053314113083,0.051435185185185216
Additional Days,E26,0.68,Shrink Sleeve,8.29926201077977,9.564816893257245,0.0
Additional Days,E26,0.69,Dec. Surfaces/others,1.884664333187299,11.976007699307956,0.0569097222222222
Additional Days,E26,0.69,Shrink Sleeve,8.590682603687455,9.693885247152906,0.0
Additional Days,E26,0.7,Dec. Surfaces/others,2.1034212526253047,12.232674772569553,0.06321180555555551
Additional Days,E26,0.7,Shrink Sleeve,9.647836406428041,9.792085084965578,0.0
Additional Days,E26,0.71,Dec. Surfaces/others,2.4075510033416787,12.933686597347261,0.07224479166666661
Additional Days,E26,0.71,Shrink Sleeve,10.492691099398272,10.593708466197512,0.0
Additional Days,E26,0.72,Dec. Surfaces/others,2.6996741780328204,13.622166520704596,0.08127777777777771
Additional Days,E26,0.72,Shrink Sleeve,10.989788470232497,11.05369201628801,0.0
Additional Days,E26,0.73,Dec. Surfaces/others,2.7478634113516147,13.941846011497418,0.09867500000000001
Additional Days,E26,0.73,Shrink Sleeve,11.480069281620317,11.56216741884245,0.0
Additional Days,E26,0.74,Dec. Surfaces/others,2.7716044516534044,14.222400565639106,0.11693009259259257
Additional Days,E26,0.74,Shrink Sleeve,12.003270031566274,12.386511020527792,0.0
Additional Days,E26,0.75,Dec. Surfaces/others,2.8204977687028343,15.052704525302914,0.1266435185185185
Additional Days,E26,0.75,Shrink Sleeve,12.706907046745428,12.647300645246474,0.0
Additional Days,E26,0.76,Dec. Surfaces/others,2.8870500466906712,16.24889314958142,0.13020694444444442
Additional Days,E26,0.76,Shrink Sleeve,13.918704548763287,12.969253015193658,0.0
Additional Days,E26,0.77,Dec. Surfaces/others,2.9542688967863064,17.29008218956325,0.13448333333333332
Additional Days,E26,0.77,Shrink Sleeve,14.177720270072541,13.505505234951698,3.9583333333332863e-05
Additional Days,E26,0.78,Dec. Surfaces/others,3.0245457999874557,17.968110957424116,0.1408337962962963
Additional Days,E26,0.78,Shrink Sleeve,14.601393465362676,14.362020285160071,0.00016041666666666816
Additional Days,E26,0.79,Dec. Surfaces/others,3.094133049399179,18.633604036136305,0.14718425925925926
Additional Days,E26,0.79,Shrink Sleeve,15.167752554418243,14.986714823532452,0.004066319444444453
Additional Days,E26,0.8,Dec. Surfaces/others,3.120843346145909,20.008724144052962,0.15874768518518517
Additional Days,E26,0.8,Shrink Sleeve,15.368127573823244,16.052491273444588,0.023643518518518526
Additional Days,E26,0.81,Dec. Surfaces/others,3.144289682457986,21.383360166065984,0.1707020833333335
Additional Days,E26,0.81,Shrink Sleeve,15.551694415960469,16.052491273444588,0.03921620370370373
Additional Days,E26,0.82,Dec. Surfaces/others,3.3335143914239733,22.072070998404527,0.25798726851851794
Additional Days,E26,0.82,Shrink Sleeve,16.005114817860772,16.052491273444588,0.06518263888888864
Additional Days,E26,0.83,Dec. Surfaces/others,3.621261556331218,22.335102799293807,0.39452719907407346
Additional Days,E26,0.83,Shrink Sleeve,16.87616427299885,16.052491273444588,0.10430648148148149
Additional Days,E26,0.84,Dec. Surfaces/others,3.998305207337882,22.682800771313353,0.5096657407407404
Additional Days,E26,0.84,Shrink Sleeve,17.868004064719855,16.052491273444588,0.1315962962962963
Additional Days,E26,0.85,Dec. Surfaces/others,4.5955155429917465,23.247606991530972,0.5695173611111107
Additional Days,E26,0.85,Shrink Sleeve,18.12896659489678,16.052491273444588,0.17185648148148136
Additional Days,E26,0.86,Dec. Surfaces/others,5.141056854952614,23.803008597132944,0.629368981481481
Additional Days,E26,0.86,Shrink Sleeve,19.19263003925829,16.052491273444588,0.209499074074074
Additional Days,E26,0.87,Dec. Surfaces/others,5.708170937576538,24.16983270673707,0.6567859953703702
Additional Days,E26,0.87,Shrink Sleeve,20.51117367653319,16.052491273444588,0.2378946759259258
Additional Days,E26,0.88,Dec. Surfaces/others,6.227321927985205,24.523931175801707,0.6826208333333338
Additional Days,E26,0.88,Shrink Sleeve,21.0695902008585,16.052491273444588,0.2855111111111114
Additional Days,E26,0.89,Dec. Surfaces/others,6.7866709995343975,24.713564078053807,0.7610431712962972
Additional Days,E26,0.89,Shrink Sleeve,21.850075025333282,16.052491273444588,0.3137680555555556
Additional Days,E26,0.9,Dec. Surfaces/others,7.3368479616606965,24.807063836980674,0.8706284722222231
Additional Days,E26,0.9,Shrink Sleeve,22.94759980550191,16.052491273444588,0.3930462962962966
Additional Days,E26,0.91,Dec. Surfaces/others,7.975752870683525,24.971924052979162,0.9724574074074078
Additional Days,E26,0.91,Shrink Sleeve,23.218908544426924,16.052491273444588,0.611170138888889
Additional Days,E26,0.92,Dec. Surfaces/others,8.816136497083978,25.299817824667173,1.0563870370370374
Additional Days,E26,0.92,Shrink Sleeve,24.215209630303306,16.052491273444588,0.9875532407407407
Additional Days,E26,0.93,Dec. Surfaces/others,9.51627112228185,25.62441938195373,1.1403166666666669
Additional Days,E26,0.93,Shrink Sleeve,24.8950699533476,16.052491273444588,1.2114879629629682
Additional Days,E26,0.94,Dec. Surfaces/others,11.43196954775808,26.777660880789163,2.0527400462962846
Additional Days,E26,0.94,Shrink Sleeve,26.628519650968897,16.052491273444588,1.840407407407407
Additional Days,E26,0.95,Dec. Surfaces/others,12.599962052719768,27.90914588704169,2.984889467592596
Additional Days,E26,0.95,Shrink Sleeve,28.03725191181546,16.052491273444588,2.9302523148148154
Additional Days,E26,0.96,Dec. Surfaces/others,13.039366014929824,28.298012405476804,3.384857407407409
Additional Days,E26,0.96,Shrink Sleeve,30.47668539526886,16.052491273444588,3.8886851851851794
Additional Days,E26,0.97,Dec. Surfaces/others,13.231991929152997,28.303598046040598,3.499728125000001
Additional Days,E26,0.97,Shrink Sleeve,33.790068933871055,16.052491273444588,4.820570486111108
Additional Days,E26,0.98,Dec. Surfaces/others,13.399366853328173,29.734164591177823,4.520941666666672
Additional Days,E26,0.98,Shrink Sleeve,37.87246747182752,16.052491273444588,10.680298148148154
Additional Days,E26,0.99,Dec. Surfaces/others,13.537414650630959,33.73095572445348,7.4195796296296335
Additional Days,E26,0.99,Shrink Sleeve,41.72711364117981,16.052491273444588,11.777264120370374
Additional Days,E26,1.0,Dec. Surfaces/others,13.665801854984828,37.230266213623075,10.318217592592594
Additional Days,E26,1.0,Shrink Sleeve,62.86917381774439,16.052491273444588,22.212534722222227
Additional Days,E27,0.5,Shrink Sleeve,0.0,0.0,0.0
Additional Days,E27,0.51,Shrink Sleeve,0.9417778594020092,0.0,0.0
Additional Days,E27,0.52,Shrink Sleeve,1.5737235145337536,0.0,0.0
Additional Days,E27,0.53,Shrink Sleeve,2.1251725598806672,0.0,0.0
Additional Days,E27,0.54,Shrink Sleeve,2.9180996108897546,0.0,0.0
Additional Days,E27,0.55,Shrink Sleeve,3.3460824675432264,0.0,0.0
Additional Days,E27,0.56,Shrink Sleeve,4.41820374960426,0.0,0.0
Additional Days,E27,0.57,Shrink Sleeve,4.734414598875219,0.0,0.0
