Basis,Line,Product group,,Rate,Yield,Uptime
Net Quantity Produced,E26,Dec. Surfaces/others,0.5,331666.915,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.51,336056.8045833633,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.52,337851.18535303103,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.53,339140.883853369,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.54,341044.51502871263,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.55,343534.1728483795,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.56,346326.6464293195,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.57,350443.9389658292,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.58,354561.231502339,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.59,355949.0481902022,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.6,356894.2471728793,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.61,357435.11787584925,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.62,357624.3987703778,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.63,357873.98011703213,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.64,358351.3631717164,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.65,358828.7462264006,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.66,361275.3364497594,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.67,363981.0328795226,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.68,367786.70973101055,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.69,372463.2044163639,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.7,377857.9990970219,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.71,385623.1837621847,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.72,393388.36842734774,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.73,394699.47866982635,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.74,395348.6325612603,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.75,396692.2777925945,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.76,398535.9567886565,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.77,400415.5794913321,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.78,402399.76570415584,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.79,404383.9519169796,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.8,405150.7665925862,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.81,405826.27840290155,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.82,411361.60035725625,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.83,420074.49048271374,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.84,432065.866610921,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.85,452526.66491289897,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.86,472987.463214877,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.87,496315.54703108704,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.88,519783.49843335757,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.89,547685.6637953268,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.9,578215.5115037843,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.91,618235.9008911017,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.92,680157.5403065564,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.93,742079.1797220112,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.94,988256.6166968042,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.95,1238821.0964706358,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.96,1369443.5450078007,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.97,1435811.3339538958,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.98,1498931.8869197571,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.99,1555326.0224979913,,
Net Quantity Produced,E26,Dec. Surfaces/others,1.0,1611720.1580762255,,
Net Quantity Produced,E26,Shrink Sleeve,0.5,3121577.978000001,,
Net Quantity Produced,E26,Shrink Sleeve,0.51,3136919.6513243224,,
Net Quantity Produced,E26,Shrink Sleeve,0.52,3147453.985074068,,
Net Quantity Produced,E26,Shrink Sleeve,0.53,3158089.4304620717,,
Net Quantity Produced,E26,Shrink Sleeve,0.54,3182038.1493983874,,
Net Quantity Produced,E26,Shrink Sleeve,0.55,3205525.5673725973,,
Net Quantity Produced,E26,Shrink Sleeve,0.56,3210780.71238482,,
Net Quantity Produced,E26,Shrink Sleeve,0.57,3222083.8963914774,,
Net Quantity Produced,E26,Shrink Sleeve,0.58,3241751.980514056,,
Net Quantity Produced,E26,Shrink Sleeve,0.59,3264929.1108857393,,
Net Quantity Produced,E26,Shrink Sleeve,0.6,3278839.3610922717,,
Net Quantity Produced,E26,Shrink Sleeve,0.61,3291784.9580886625,,
Net Quantity Produced,E26,Shrink Sleeve,0.62,3296065.811506944,,
Net Quantity Produced,E26,Shrink Sleeve,0.63,3301611.908799629,,
Net Quantity Produced,E26,Shrink Sleeve,0.64,3304691.9897309993,,
Net Quantity Produced,E26,Shrink Sleeve,0.65,3309538.0498072905,,
Net Quantity Produced,E26,Shrink Sleeve,0.66,3322391.8291935213,,
Net Quantity Produced,E26,Shrink Sleeve,0.67,3331420.454886552,,
Net Quantity Produced,E26,Shrink Sleeve,0.68,3340595.400818692,,
Net Quantity Produced,E26,Shrink Sleeve,0.69,3348845.903350491,,
Net Quantity Produced,E26,Shrink Sleeve,0.7,3379120.4841939467,,
Net Quantity Produced,E26,Shrink Sleeve,0.71,3403711.676380303,,
Net Quantity Produced,E26,Shrink Sleeve,0.72,3418348.664150801,,
Net Quantity Produced,E26,Shrink Sleeve,0.73,3432908.7735489006,,
Net Quantity Produced,E26,Shrink Sleeve,0.74,3448583.9538568687,,
Net Quantity Produced,E26,Shrink Sleeve,0.75,3469892.1447146176,,
Net Quantity Produced,E26,Shrink Sleeve,0.76,3507212.8006198937,,
Net Quantity Produced,E26,Shrink Sleeve,0.77,3515294.28340269,,
Net Quantity Produced,E26,Shrink Sleeve,0.78,3528593.7879683687,,
Net Quantity Produced,E26,Shrink Sleeve,0.79,3546530.314229708,,
Net Quantity Produced,E26,Shrink Sleeve,0.8,3552919.9160306724,,
Net Quantity Produced,E26,Shrink Sleeve,0.81,3558793.7761411336,,
Net Quantity Produced,E26,Shrink Sleeve,0.82,3573386.1163799744,,
Net Quantity Produced,E26,Shrink Sleeve,0.83,3601757.357368465,,
Net Quantity Produced,E26,Shrink Sleeve,0.84,3634616.4593554395,,
Net Quantity Produced,E26,Shrink Sleeve,0.85,3643361.869335245,,
Net Quantity Produced,E26,Shrink Sleeve,0.86,3679447.1622470925,,
Net Quantity Produced,E26,Shrink Sleeve,0.87,3725183.9780862965,,
Net Quantity Produced,E26,Shrink Sleeve,0.88,3744898.5415620035,,
Net Quantity Produced,E26,Shrink Sleeve,0.89,3772805.341512307,,
Net Quantity Produced,E26,Shrink Sleeve,0.9,3812759.2469623736,,
Net Quantity Produced,E26,Shrink Sleeve,0.91,3822766.665825815,,
Net Quantity Produced,E26,Shrink Sleeve,0.92,3859971.0017998526,,
Net Quantity Produced,E26,Shrink Sleeve,0.93,3885777.123859442,,
Net Quantity Produced,E26,Shrink Sleeve,0.94,3953163.962091925,,
Net Quantity Produced,E26,Shrink Sleeve,0.95,4009673.719587815,,
Net Quantity Produced,E26,Shrink Sleeve,0.96,4111447.014255968,,
Net Quantity Produced,E26,Shrink Sleeve,0.97,4258251.329014113,,
Net Quantity Produced,E26,Shrink Sleeve,0.98,4454207.175368728,,
Net Quantity Produced,E26,Shrink Sleeve,0.99,4656536.613632857,,
Net Quantity Produced,E26,Shrink Sleeve,1.0,6201642.161340653,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.5,,331666.915,
Net Quantity Produced,E26,Dec. Surfaces/others,0.51,,335231.9283280403,
Net Quantity Produced,E26,Dec. Surfaces/others,0.52,,335828.6673727665,
Net Quantity Produced,E26,Dec. Surfaces/others,0.53,,335848.24197351513,
Net Quantity Produced,E26,Dec. Surfaces/others,0.54,,337085.9113495155,
Net Quantity Produced,E26,Dec. Surfaces/others,0.55,,339486.3075564379,
Net Quantity Produced,E26,Dec. Surfaces/others,0.56,,342468.9253826919,
Net Quantity Produced,E26,Dec. Surfaces/others,0.57,,347998.76279352204,
Net Quantity Produced,E26,Dec. Surfaces/others,0.58,,353528.6002043522,
Net Quantity Produced,E26,Dec. Surfaces/others,0.59,,355991.0641621024,
Net Quantity Produced,E26,Dec. Surfaces/others,0.6,,357956.1162085425,
Net Quantity Produced,E26,Dec. Surfaces/others,0.61,,360777.1033730319,
Net Quantity Produced,E26,Dec. Surfaces/others,0.62,,364342.3819445208,
Net Quantity Produced,E26,Dec. Surfaces/others,0.63,,367984.4388637134,
Net Quantity Produced,E26,Dec. Surfaces/others,0.64,,371916.54731867573,
Net Quantity Produced,E26,Dec. Surfaces/others,0.65,,375848.6557736381,
Net Quantity Produced,E26,Dec. Surfaces/others,0.66,,378350.5232534458,
Net Quantity Produced,E26,Dec. Surfaces/others,0.67,,380664.2011312594,
Net Quantity Produced,E26,Dec. Surfaces/others,0.68,,382014.50035251974,
Net Quantity Produced,E26,Dec. Surfaces/others,0.69,,382602.1248040087,
Net Quantity Produced,E26,Dec. Surfaces/others,0.7,,383865.5606376649,
Net Quantity Produced,E26,Dec. Surfaces/others,0.71,,387359.17403247405,
Net Quantity Produced,E26,Dec. Surfaces/others,0.72,,390852.7874272831,
Net Quantity Produced,E26,Dec. Surfaces/others,0.73,,392496.4787301305,
Net Quantity Produced,E26,Dec. Surfaces/others,0.74,,393950.4344338025,
Net Quantity Produced,E26,Dec. Surfaces/others,0.75,,398317.2445303006,
Net Quantity Produced,E26,Dec. Surfaces/others,0.76,,404781.3097896336,
Net Quantity Produced,E26,Dec. Surfaces/others,0.77,,410581.00805999344,
Net Quantity Produced,E26,Dec. Surfaces/others,0.78,,414448.00236243114,
Net Quantity Produced,E26,Dec. Surfaces/others,0.79,,418314.99666486884,
Net Quantity Produced,E26,Dec. Surfaces/others,0.8,,426538.5373708685,
Net Quantity Produced,E26,Dec. Surfaces/others,0.81,,435088.8190571356,
Net Quantity Produced,E26,Dec. Surfaces/others,0.82,,439502.8260078157,
Net Quantity Produced,E26,Dec. Surfaces/others,0.83,,441212.34563138173,
Net Quantity Produced,E26,Dec. Surfaces/others,0.84,,443492.6496045536,
Net Quantity Produced,E26,Dec. Surfaces/others,0.85,,447247.4798142072,
Net Quantity Produced,E26,Dec. Surfaces/others,0.86,,451002.3100238608,
Net Quantity Produced,E26,Dec. Surfaces/others,0.87,,453517.0131761375,
Net Quantity Produced,E26,Dec. Surfaces/others,0.88,,455971.22232561564,
Net Quantity Produced,E26,Dec. Surfaces/others,0.89,,457296.4957928807,
