Line,Product Family,Base Polymer,Base Type,Additional Treatment,Width Material Attri,Thickness Material A,Quantity Good,Run Time Hours,Net Quantity Produced,Product Group,Color Group,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,Adjusted EBITDA,Total Depreciation,EBIT,Product,Weight Adjusted EBITDA,Rate,Yield,EBITDA per Hr,EBITDA Rank,EBITDA per Hr Rank
K06,Shrink Sleeve,PVC,148/07,T35,250,45,1169.998,0.8713888888888889,1169.998,Shrink Sleeve,GC,8163.7,8163.7,24190.47,0.0,24190.47,0.0,0.0,0.0,-846.68,23343.79,2.8594620086480402,0.0,0.0,-1617.56,21726.23,14863.24,0.0,8480.55,288.81,36.21,1670.99,4866.98,2104.18,4155.67,838.95,1593.02,254.43,-4079.27,407.37,1064.94,513.41,-6064.99,-6064.99,1092.77,-7157.76,PVC-148/07-T35-GC,-869.2169200264586,1342.6817978960792,1.0,-6960.14153649984,0,0
K18,Cards Overlay,PVC,278/01,SB6,1050,50,1058.0,1.7469444444444444,1058.0,Cards Coated Overlay,GC,5999.0,5999.0,34260.21,0.0,34260.21,0.0,-685.2,0.0,-1370.42,32204.59,5.3683263877312895,0.0,0.0,-922.01,31282.58,19678.49,0.0,12526.1,675.87,66.74,2578.99,8282.49,4928.63,6938.12,1764.05,2007.52,268.66,-7624.49,221.96,1047.3,377.27,-9271.02,-9271.02,1904.17,-11175.19,PVC-278/01-SB6-GC,-1635.062370395066,605.628875814915,1.0,-5306.99189060264,1,1
K06,Shrink Sleeve,PVC,148/05,T30,355,50,1772.0,1.415,1772.0,Shrink Sleeve,GC,10470.6,10470.6,28375.32,0.0,28375.32,-66.35,0.0,0.0,-849.27,27459.7,2.6225526712891334,0.0,0.0,-775.34,26684.36,16965.71,0.0,10493.99,655.64,41.86,2045.1,6976.05,2517.95,5024.41,1014.38,1939.88,304.44,-3825.01,522.49,1365.89,658.49,-6371.88,-6371.88,1332.49,-7704.37,PVC-148/05-T30-GC,-1078.3499856741732,1252.296819787986,1.0,-4503.095406360424,2,2
K06,Shrink Sleeve,PVC,147/07,T25,640,45,2217.9970000000008,1.7786111111111111,2217.9970000000008,Shrink Sleeve,GC,10639.6,10639.6,28088.55,0.0,28088.55,0.0,0.0,-423.2,-829.97,26835.38,2.5222170006391216,0.0,0.0,-1070.06,25765.32,16099.4,0.0,10735.98,906.31,52.11,2177.91,6529.59,2784.69,5527.67,1115.61,2087.97,343.21,-5329.56,530.92,1387.95,669.13,-7917.56,-7917.56,1420.3,-9337.86,PVC-147/07-T25-GC,-1650.5436602240693,1247.0387630798068,1.0,-4451.5408402311405,3,3
K06,Shrink Sleeve,PVC,145/01,T02,840,40,3655.995,2.2758333333333334,3655.995,Shrink Sleeve,GC,8642.0,8119.0,19443.5,0.0,19443.5,0.0,0.0,-1221.92,-48.25,18173.33,2.238370488976475,-637.75,-455.54,-3465.02,14708.31,11356.74,0.0,6816.59,346.76,33.65,1659.91,1311.25,2028.69,4084.49,831.3,1554.17,256.4,-7443.8,431.24,1127.35,543.5,-9545.89,-9545.89,1049.15,-10595.04,PVC-145/01-T02-GC,-4298.525201447223,1606.442328817283,1.0,-4194.459172464299,4,4
K06,Shrink Sleeve,PVC,145/01,T02,1220,40,1204.0,1.4858333333333331,1204.0,Shrink Sleeve,GC,7882.7,7882.7,18382.06,0.0,18382.06,0.0,0.0,0.0,0.0,18382.06,2.3319497126619053,-63.86,-459.54,-2550.02,15832.04,10248.47,0.0,8133.59,419.53,30.27,1542.0,3591.77,1338.06,3704.94,749.39,1352.6,233.43,-3786.65,393.35,1028.31,495.74,-5704.05,-5704.05,821.36,-6525.41,PVC-145/01-T02-GC,-871.2339934286476,810.3196859226024,1.0,-3838.956814357824,5,5
K06,Shrink Sleeve,PVC,147/07,T25,855,40,4062.995,3.8925,4062.995,Shrink Sleeve,GC,13443.4,13443.4,34952.84,0.0,34952.84,0.0,0.0,0.0,0.0,34952.84,2.6,-1223.35,-873.83,-5065.42,29887.42,19673.68,0.0,15279.16,576.46,62.81,2934.04,6640.43,3990.62,7300.11,1482.78,2790.54,454.37,-9377.99,670.82,1753.69,845.45,-12647.95,-12647.95,1911.83,-14559.78,PVC-147/07-T25-GC,-3822.586370282072,1043.8008991650606,1.0,-3249.3127809890816,6,6
K06,Shrink Sleeve,PVC,148/07,T35,890,50,4288.0,2.9944444444444445,4288.0,Shrink Sleeve,GC,6138.5,6138.5,18390.51,0.0,18390.51,0.0,0.0,-6593.8,0.0,11796.71,1.9217577584100347,0.0,0.0,-786.21,11010.5,11339.7,0.0,457.01,189.62,63.5,1214.93,-1797.25,1565.59,2549.99,698.19,1140.1,197.24,-7948.36,306.3,800.77,386.06,-9441.49,-9441.49,763.38,-10204.87,PVC-148/07-T35-GC,-6595.277204528793,1431.9851576994433,1.0,-3153.0022263450837,7,7
K06,Shrink Sleeve,PVC,148/07,T35,597,50,4216.0,2.8580555555555565,4216.0,Shrink Sleeve,GC,12351.8,12041.9,37603.87,0.0,37603.87,-62.47,0.0,-911.11,-943.87,35686.42,2.963520706865196,0.0,0.0,-2226.99,33459.43,22272.07,0.0,13414.35,935.86,257.89,2555.13,7438.48,3530.35,5235.49,1527.19,2438.25,416.01,-5708.81,600.89,1570.88,757.31,-8637.89,-8637.89,1622.74,-10260.63,PVC-148/07-T35-GC,-3024.219121567194,1475.1287783069297,1.0,-3022.2960443191746,8,8
K06,Shrink Sleeve,PVC,148/07,T35,400,45,2421.998,1.6766666666666667,2928.998,Shrink Sleeve,GC,5877.3,5877.3,17295.25,0.0,17295.25,0.0,0.0,0.0,-605.33,16689.92,2.8397257243972573,0.0,0.0,-1082.34,15607.58,10677.41,0.0,6012.51,737.16,28.41,1212.46,2952.14,1515.68,3056.2,614.17,1162.02,186.65,-3582.58,293.27,766.7,369.62,-5012.17,-5012.17,792.71,-5804.88,PVC-148/07-T35-GC,-2065.4834219216305,1746.9172962226635,0.8269032617980621,-2989.3658051689863,9,9
